Entrez_ID,Gene_Symbol,Phytochemicals
5465,PPARA,"['Linoleic acid', 'Palmitic acid', 'Arachidic acid', 'Myristic acid', 'Behenic acid', 'Capric acid', 'Oleic acid', 'Octadecanoic acid', 'Lauric acid', 'Linolenic acid']"
5468,PPARG,"['Octadecanoic acid', 'Capric acid', 'Behenic acid', 'Palmitic acid', 'Linoleic acid', 'Lauric acid', 'Myristic acid', 'Arachidic acid', 'Linolenic acid', 'Oleic acid']"
2740,GLP1R,"['Lauric acid', 'Myristic acid']"
5467,PPARD,"['Linoleic acid', 'Oleic acid', 'Palmitic acid', 'Lauric acid', 'Behenic acid', 'Myristic acid', 'Octadecanoic acid', 'Arachidic acid', 'Linolenic acid', 'Capric acid']"
5770,PTPN1,"['Arachidic acid', 'Alpha-amyrin', 'Octadecanoic acid', 'Oleic acid', 'Palmitic acid']"
