source_id,source_type,relation,properties,target_id,target_type
CID_439246,Phytochemical,interacts_with,,766,Target
CID_439246,Phytochemical,interacts_with,,771,Target
CID_439246,Phytochemical,interacts_with,,805,Target
CID_439246,Phytochemical,interacts_with,,8654,Target
CID_439246,Phytochemical,interacts_with,,873,Target
CID_439246,Phytochemical,interacts_with,,874,Target
CID_439246,Phytochemical,interacts_with,,9429,Target
Pterocarpus marsupium,SHD,contains_chemical,part:Wood,CID_10494,Phytochemical
CID_10494,Phytochemical,interacts_with,,10599,Target
CID_10494,Phytochemical,interacts_with,,1066,Target
CID_10494,Phytochemical,interacts_with,,1071,Target
CID_10494,Phytochemical,interacts_with,,10951,Target
CID_10494,Phytochemical,interacts_with,,11069,Target
CID_10494,Phytochemical,interacts_with,,112398,Target
CID_10494,Phytochemical,interacts_with,,112399,Target
CID_10494,Phytochemical,interacts_with,,11343,Target
CID_10494,Phytochemical,interacts_with,,151306,Target
CID_10494,Phytochemical,interacts_with,,1588,Target
CID_10494,Phytochemical,interacts_with,,1845,Target
CID_10494,Phytochemical,interacts_with,,1956,Target
CID_10494,Phytochemical,interacts_with,,2152,Target
CID_10494,Phytochemical,interacts_with,,231,Target
CID_10494,Phytochemical,interacts_with,,23408,Target
CID_10494,Phytochemical,interacts_with,,240,Target
CID_10494,Phytochemical,interacts_with,,247,Target
CID_10494,Phytochemical,interacts_with,,2648,Target
CID_10494,Phytochemical,interacts_with,,28234,Target
CID_10494,Phytochemical,interacts_with,,2932,Target
CID_10494,Phytochemical,interacts_with,,3294,Target
CID_10494,Phytochemical,interacts_with,,3417,Target
CID_10494,Phytochemical,interacts_with,,351,Target
CID_10494,Phytochemical,interacts_with,,3978,Target
CID_10494,Phytochemical,interacts_with,,4780,Target
CID_10494,Phytochemical,interacts_with,,4843,Target
CID_10494,Phytochemical,interacts_with,,51053,Target
CID_10494,Phytochemical,interacts_with,,5111,Target
CID_10494,Phytochemical,interacts_with,,51422,Target
CID_10494,Phytochemical,interacts_with,,52,Target
CID_10494,Phytochemical,interacts_with,,5243,Target
CID_10494,Phytochemical,interacts_with,,5319,Target
CID_10494,Phytochemical,interacts_with,,5347,Target
CID_10494,Phytochemical,interacts_with,,53632,Target
CID_10494,Phytochemical,interacts_with,,5423,Target
CID_10494,Phytochemical,interacts_with,,54583,Target
CID_10494,Phytochemical,interacts_with,,54681,Target
CID_10494,Phytochemical,interacts_with,,5562,Target
CID_10494,Phytochemical,interacts_with,,5563,Target
CID_10494,Phytochemical,interacts_with,,5564,Target
CID_10494,Phytochemical,interacts_with,,5565,Target
CID_10494,Phytochemical,interacts_with,,5571,Target
CID_10494,Phytochemical,interacts_with,,55775,Target
CID_10494,Phytochemical,interacts_with,,57016,Target
CID_10494,Phytochemical,interacts_with,,5742,Target
CID_10494,Phytochemical,interacts_with,,5743,Target
CID_10494,Phytochemical,interacts_with,,5770,Target
CID_10494,Phytochemical,interacts_with,,5771,Target
CID_10494,Phytochemical,interacts_with,,5777,Target
CID_10494,Phytochemical,interacts_with,,5781,Target
CID_10494,Phytochemical,interacts_with,,5786,Target
CID_10494,Phytochemical,interacts_with,,5788,Target
CID_10494,Phytochemical,interacts_with,,5791,Target
CID_10494,Phytochemical,interacts_with,,5792,Target
CID_10494,Phytochemical,interacts_with,,5970,Target
CID_10494,Phytochemical,interacts_with,,6774,Target
CID_10494,Phytochemical,interacts_with,,7150,Target
CID_10494,Phytochemical,interacts_with,,7153,Target
CID_10494,Phytochemical,interacts_with,,7428,Target
CID_10494,Phytochemical,interacts_with,,7442,Target
CID_10494,Phytochemical,interacts_with,,7874,Target
CID_10494,Phytochemical,interacts_with,,79915,Target
CID_10494,Phytochemical,interacts_with,,994,Target
CID_10494,Phytochemical,interacts_with,,9971,Target
